section_id,approved_zip_filename,size_bytes,sha256,zip_opens,zip_crc_status,json_parse_status,csv_header_status,file_count,canonical_status
FS-10000,FS-10000_TERMINAL_UI_USER_WORKSPACES_V1_RELEASE_COMPLETE.zip,71268,fab8e7ad97f30b5e619647611ce1578b3faa4a32518d50d47224c7969d969845,true,pass,pass,pass,37,current_release
FS-11000,FS-11000_RUNTIME_AGENTS_ORCHESTRATION_V1_RELEASE_COMPLETE.zip,99170,c871361f297e84f362bc1ab1ad245417fed91bf5e22393cb8e80d6cbab4d5266,true,pass,pass,pass,48,current_release
FS-12000,FS-12000_SECURITY_GOVERNANCE_ADMINISTRATION_V1_RELEASE_COMPLETE.zip,84101,5bf21f2e37729732db352efc849a4e7235cab74b2b0e02270cfa22d3629da179,true,pass,pass,pass,42,current_release
FS-13000,FS-13000_DEPLOYMENT_PILOTS_COMMERCIALIZATION_V1_RELEASE_COMPLETE.zip,126571,c82c29a822d70c1510a3efd9a7c19b019983faab1a9af24250b4a21f2383f1ff,true,pass,pass,pass,70,current_release
FS-14000,FS-14000_MASTER_V1_INTEGRATION_TESTING_RELEASE_V1_RELEASE_COMPLETE.zip,105305,fb95278cdb1fcbe40748ed3a578d1aa95b63941ef7e2928415f443c687f3cdde,true,pass,pass,pass,77,current_release
FS-4000,FS-4000_DOMAIN_OPERATING_FRAMEWORKS_V1_RELEASE_COMPLETE.zip,435836,cb2dbda6b39b0ce4a9108ba653d480d54e736c99bb2436115b11d7be80c5c30a,true,pass,pass,pass,22,current_release
FS-5100,FS-5100_MASTER_REGISTRIES_CARTRIDGE_MANIFESTS_V1_RELEASE_COMPLETE.zip,160368,4fc5e654dc17a7a44f430d483abfaeb7881e473d88d6145ca000583b31cb0eac,true,pass,pass,pass,51,current_release
FS-6000,FS-6000_INSTITUTIONAL_KERNEL_V1_RELEASE_COMPLETE.zip,47260,95637b31752e476268ceec46fbec066bf0dd6d0af7e291b2a5c8e5076e9d18cd,true,pass,pass,pass,39,current_release
FS-7000,FS-7000_DEMO_ENVIRONMENT_PRODUCTIZATION_V1_RELEASE_COMPLETE.zip,46999,214f38da17b7625c80108ec355f10528560d6d10a3a7c13eca735e8b6e9af392,true,pass,pass,pass,39,current_release
FS-8000,FS-8000_DATA_CONNECTORS_INGESTION_V1_RELEASE_COMPLETE.zip,60390,1d5f816f52fdeefdafaaf52a778d364da86631e2da4abc84744f39c265517119,true,pass,pass,pass,46,current_release
FS-9000,FS-9000_KNOWLEDGE_GRAPH_INSTITUTION_POPULATION_V1_RELEASE_COMPLETE.zip,63077,ab1a928b9fe63c0cd0d801edcf5a49e00342bf7122e0d3ce5deb032acb73e2db,true,pass,pass,pass,39,current_release
POST_VOLUME_10,POST_VOLUME_10_DOCUMENT_CONTROL_PACKAGE_FS4000_RECONCILED.zip,177354,60eed88a2cd74b94642f08930cd331c53b5132a4ca25941eb650ef544a1d41b4,true,pass,pass,pass,126,supporting_document_control
