Entity Type,Core or Configured,Purpose,Primary Source(s),Key Fields,Relationships,Evidence Needed,Primary Workflows,Core Metrics Impacted,MVP Priority
Customer,Configured,Represents the person/company buying service,"FSM/CRM, phone, email, manual correction","name, phone, email, status, source, customer_type","locations, requests, estimates, jobs, invoices, complaints",contact/source proof when created from external input,"intake, follow-up, payment, complaint rescue, reactivation","customer completeness, conversion, retention",P0
Location,Configured,Represents where service happens,"FSM/CRM, job record, calendar, email","address, access_notes, property_type, gate_code, service_history","customer, jobs, recurring service, evidence","address/source record, access notes","dispatch, pre-dispatch readiness, recurring service","failed access rate, data completeness",P0
Request,Configured,Represents new demand entering the business,"phone/SMS, web form, email, marketplace, FSM","request_type, urgency, description, source, received_at, status","customer, location, estimate, job, work_items",source message/call/form,"new request intake, missed call recovery","new requests, response time, conversion",P0
Estimate,Configured,Represents quoted but not captured revenue,"FSM, quote tool, report/export, email","amount, scope, status, sent_at, approved_at, owner, last_followup_at","customer, location, request, job, work_items","estimate source record, approval proof","estimate follow-up, approved scheduling, margin review","open pipeline, stale estimates, close rate",P0
Job,Configured,Represents scheduled/executed field work,"FSM, calendar, tech capture, report/export","job_type, status, scheduled_at, completed_at, assigned_tech, priority, scope","customer, location, estimate, invoice, evidence, callback","job record, status history, tech notes","dispatch, execution, closeout, blocked job","scheduled jobs, completed jobs, blocked jobs",P0
Technician,Configured,Represents field labor resource,"FSM, employee list, schedule, manual setup","name, role, skills, phone, active_status, service_area","jobs, work_items, evidence, callbacks",profile/source list; skill approval,"dispatch assignment, skill match, performance review","utilization, skill mismatch, callback by tech",P1
Part / Material,Configured,Represents required material/part for work,"tech note, FSM, vendor email/report, manual correction","part_name, status, vendor, ordered_at, eta, cost","job, vendor, return_visit, work_items","tech note, order confirmation, vendor update","parts workflow, return visit scheduling","blocked by parts, return cycle time",P1
Vendor,Configured,Represents supplier or external service provider,"vendor list, invoice, email, manual setup","name, type, contact, reliability, preferred_status","parts, jobs, invoices","source record, contact proof","parts procurement, vendor selection","parts ETA reliability, source delay",P2
Invoice,Configured,Represents billing record,"FSM, QuickBooks, payment processor, report/export","invoice_id, amount, status, sent_at, due_at, paid_at","customer, job, payment, dispute",invoice source record,"completed not invoiced, payment follow-up","A/R aging, days to invoice, cash loop",P0
Payment,Configured,Represents cash received or payment event,"QuickBooks, Stripe, Square, payment processor, email","amount, paid_at, method, status, invoice_id","invoice, customer, job",payment record/source event,"cash loop close, reconciliation","paid invoices, DSO, payment latency",P1
Callback,Configured,Represents rework/warranty/margin issue,"FSM, customer message, tech note, complaint, manual flag","reason, warranty_status, original_job_id, cost_estimate, status","customer, location, original_job, technician, evidence","complaint/note, original job evidence","callback review, warranty validation","callback rate, margin leakage, rework cost",P0
Complaint / Review,Configured,Represents customer dissatisfaction or public reputation event,"SMS, email, call transcript, Google review, Yelp, FSM note","channel, rating, body, severity, status, received_at","customer, job, callback, work_items",source message/review screenshot/API event,"customer rescue, review rescue","complaints, response time, rating impact",P0
Service Agreement,Configured,Represents recurring service/maintenance agreement,"FSM, report/export, manual setup, invoice history","agreement_type, start, renewal_date, next_service_due, status","customer, location, jobs, opportunities",agreement source record,"recurring scheduling, renewal follow-up","recurring due, renewal conversion",P1
Service Opportunity,Configured,"Represents potential follow-on, upsell, recurring, or reactivation revenue","tech note, completed job, customer history, agent proposal","opportunity_type, value_estimate, source, status, owner","customer, location, job, estimate, work_items",source note/job history/recommendation,"service opportunity, reactivation, maintenance plan offer","opportunities, conversion, follow-on revenue",P1
Evidence,Configured/Core object,"Represents proof supporting work, billing, dispute, quality, or completion","tech photo, note, document, signature, source record","evidence_type, file/ref, status, reviewed_by, related_object","job, invoice, callback, complaint, report, work_item",the evidence itself,"job closeout, dispute review, missing evidence","evidence completeness, disputes, closeout score",P0
Source,Configured/Core object,Represents data origin and health,"API, webhook, email, report, calendar, phone, folder sync","source_type, cadence, last_sync_at, health_status, reliability","inputs, source_records, data_gaps","sync logs, source metadata","source health, data pipeline repair","source freshness, stale data count",P0
Data Gap,Configured/Core object,Represents missing/stale/conflicting data that blocks trust or action,"rules engine, source monitor, human review","gap_type, affected_object, severity, source, status, owner","source, entity, work_item, report",missing field/source failure/conflict evidence,"data repair, source health, reconciliation","data completeness, source health",P0
