Workflow,Purpose,Primary Trigger(s),Required Inputs,Primary Work Item Types,Evidence Required,Owner Role,Metrics Updated,Value Category,Success Condition,MVP Priority
New Request Intake,Convert new demand into structured follow-up or job/estimate path,"new lead, email request, voicemail, web form, marketplace lead","customer contact, request description, source, timestamp","Intake Review, Urgent Follow-Up","source message/call/form, contact info",CSR/Dispatcher,"new requests, response latency, conversion",Revenue Creation,Request contacted and dispositioned,P0
Missed Call Recovery,Recover revenue from unanswered phone demand,missed call with no callback within threshold,"caller ID, timestamp, voicemail/transcript if available",Urgent Follow-Up,"call log, callback disposition",CSR/Dispatcher,"missed calls, callback latency, recovered jobs",Revenue Protection,Caller reached or disposition recorded,P0
Estimate Follow-Up,Prevent open quotes from going stale,"estimate sent with no response, high-value estimate, stale estimate","estimate amount, sent date, status, customer, owner","Estimate Follow-Up, High-Value Follow-Up","estimate record, contact attempt",Sales/CSR/Owner,"stale estimates, close rate, pipeline value",Revenue Protection,"Estimate approved, declined with reason, or follow-up scheduled",P0
Approved Estimate Scheduling,Convert approved work into scheduled job,estimate approved but not scheduled,"approved estimate, customer availability, scope",Schedule Approved Work,"approval proof, schedule record",Dispatcher,"approved not scheduled, time to schedule",Revenue Capture,Approved work scheduled or blocked with reason,P0
Pre-Dispatch Readiness,"Prevent failed jobs from missing info, access, parts, or assignment",scheduled job missing required data or assignment,"job record, address, contact, scope, assigned tech, parts","Pre-Dispatch Review, Dispatch Assignment","missing fields list, assignment record",Dispatcher,"pre-dispatch blockers, failed access risk",Cost Reduction,Job ready or blocker resolved before appointment,P0
Job Execution Visibility,Maintain live operating view of field work,tech en route/arrived/completed/blocked; stale status,"job status, tech assignment, timestamps","Status Check, Customer Update, Blocker Resolution","status event, tech note if needed",Dispatcher/Manager,"stale jobs, blocked jobs, customer updates",Visibility Improved,Job state current and blockers routed,P0
Job Closeout,"Ensure completed work becomes evidence, invoice, review, and report-ready",job completed,"completion event, job notes, photos, signature, invoice status","Job Closeout, Missing Evidence, Invoice Follow-Up","completion proof, notes/photos/signature per config",Admin/Dispatcher/Manager,"closeout completeness, missing evidence, completed not invoiced",Cash Acceleration,Job has required evidence and invoice path,P0
Parts / Return Visit,Resolve jobs blocked by parts or required return visits,"parts needed, return visit required, part ordered without ETA","part info, vendor, job, customer, ETA/status","Parts / Return Visit, Parts Follow-Up, Return Visit Scheduling","tech note, order confirmation, return schedule",Dispatcher/Admin/Manager,"blocked by parts, return cycle time",Speed Improved,Part sourced and return visit scheduled/completed,P1
Invoice / Payment Follow-Up,Accelerate cash and reduce aging balances,"completed not invoiced, unpaid invoice, payment dispute","invoice status, due date, amount, job/customer, payment record","Invoice Follow-Up, Payment Follow-Up, Dispute Review","invoice, payment record, job evidence for dispute",Bookkeeper/Admin/Owner,"A/R aging, days to invoice, DSO",Cash Acceleration,Invoice sent/paid or dispute resolved,P0
Callback / Warranty Review,Protect margin and identify quality issues,"callback, warranty request, rework, repeated issue","original job, customer complaint, warranty terms, evidence","Callback Review, Warranty Review","original job notes/photos, complaint, warranty proof",Manager/Owner,"callback rate, rework cost, margin leakage",Margin Protection,Callback resolved and root cause classified,P0
Complaint / Review Rescue,Rescue customer relationship and protect reputation,"complaint, bad review, negative message","message/review, related customer/job, severity","Customer Rescue, Review Rescue","source complaint/review, resolution notes",Manager/Owner,"complaints, response time, rating",Customer Experience,Customer contacted and resolution/disposition logged,P0
Recurring Service Scheduling,Protect and expand recurring revenue,"service due, renewal upcoming, maintenance opportunity","agreement record, due date, customer/location, eligibility","Recurring Service Scheduling, Renewal Follow-Up, Service Opportunity","agreement/source record, outreach record",CSR/Sales/Dispatcher,"recurring due, renewal conversion, recurring revenue",Revenue Creation,"Service scheduled, renewed, declined, or deferred",P1
Customer Reactivation,Create revenue from dormant customers,dormant customer list or reactivation signal,"customer history, last service date, eligibility",Customer Reactivation,"customer history, campaign/follow-up record",Marketing/CSR/Owner,"reactivation opportunities, reactivated revenue",Revenue Creation,Customer contacted and outcome recorded,P2
Margin Review,"Catch pricing, discount, refund, or job cost leakage","job margin exception, discount, refund, underpriced estimate","estimate/job/invoice, labor/materials, threshold/context","Margin Review, Discount Review, Refund Review","financial source, reason/approval, job record",Manager/Owner,"margin exceptions, discount rate, refunds",Margin Protection,Exception reviewed and pricing/process action logged,P1
Data Pipeline Health,Keep the operating database trustworthy,"expected source missing, stale data, source conflict, required field missing","source, expected cadence, affected object, missing/conflicting fields","Data Pipeline Repair, Data Cleanup, Reconciliation","sync logs, source records, missing field list",Admin/Technical/Manager,"source health, data gaps, stale metrics",Visibility Improved,Source restored or fallback/correction recorded,P0
